drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,0,200,70,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,6,0,190,26,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,1,0,20,24,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,90,2,0,150,33,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,1,1,0,18,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,3,16,16,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,2,3,250,39,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,2,0,152,23,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,150,2,0,200,25,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,1,174,230,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,2,2,177,22,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,2,210,24,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,90,2,2,120,40,Yes,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,1,1,40,40,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,2,3,219,28,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,1,0,200,22,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,45,2,4,125,33,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,6,4,250,30,Yes,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
