drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,0,15,12,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,0,283,51,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,1,175,40,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,150,1,5,132,22,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,3,350,49,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,150,2,4,730,64,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,1,0,150,20,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,2,339,40,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,150,2,1,181,60,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,1,1,146,22,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,0,225,30,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,2,3,142,23,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,150,2,0,950,133,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,4,100,28,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,4,4,11,16,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,4,4,158,24,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,150,1,0,260,200,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,2,0,159,29,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,4,4,153,25,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,90,2,2,126,20,Yes,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,4,206,32,Yes,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,4,202,27,Yes,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,90,3,1,313,45,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,3,1,140,18,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,90,3,0,300,47,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,1,4,200,40,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,90,1,0,151,16,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,2,4,169,18,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,4,4,165,23,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,4,4,166,10,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,2,4,163,17,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,2,2,95,20,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Bonnie Doon Stake Centre,Bonnie Doon Stake,Clareview Ward,45,1,0,40,15,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Clareview Ward,45,2,1,150,15,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,15,1,2,100,15,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Londonderry Ward,90,2,0,50,15,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,1,0,50,20,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,1,0,235,21,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,1,0,200,100,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,90,3,0,375,58,Yes,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,2,0,175,30,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Communities Outside Edmonton,Gateway Stake,Wainwright Branch,150,2,0,99,11,Yes,WAINWRIGHT BRANCH,345019.3548387097,53.44657079870745,-113.43938401646996
Communities Outside Edmonton,Gateway Stake,Wainwright Branch,150,2,0,153,13,Yes,WAINWRIGHT BRANCH,345019.3548387097,53.44657079870745,-113.43938401646996
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,5,0,202,26,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,3,200,60,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,2,1,159,19,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,2,4,158,24,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,3,0,132,19,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Riverbend Stake,Rabbit Hill Ward,90,2,0,289,40,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,3,0,122,20,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,1,1,136,21,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,1,1,166,8,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,15,3,0,110,10,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,150,1,1,250,62,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,90,2,2,60,35,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,3,120,31,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,2,3,200,100,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,0,211,47,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,15,2,1,58,6,No,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,0,150,23,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,1,0,140,33,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,3,0,121,45,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
